Exports and imports (% of GDP),,,,,,
HDI Rank (2017),Country,2014,,2015,,2016
168, Afghanistan,52.3,,55.8,,55.9
68, Albania,75.4,,71.8,,74.7
85, Algeria,62.1,,59.7,,56.3
147, Angola,90.3,,70.3,,59.4
70, Antigua and Barbuda,104.2,,93.2,,88.7
47, Argentina,28.4,,22.5,,26.1
83, Armenia,75.6,,71.6,,75.9
3, Australia,42.6,,41.5,,40.8
20, Austria,103.5,,102.1,,101.2
80, Azerbaijan,69.5,,72.6,,90.1
54, Bahamas,87.7,,73.7,,73.5
43, Bahrain,175.6,,154.1,,139.6
136, Bangladesh,44.5,,42.1,,38
58, Barbados,91.5,,79,,82.6
53, Belarus,110.7,,115.9,,125.2
17, Belgium,164.7,,160.2,,164.5
106, Belize,126.6,,123.6,,110.2
163, Benin,76.5,,68,,71.3
134, Bhutan,93.6,,95,,82.8
118, Bolivia (Plurinational State of),85.3,,67.9,,56.4
77, Bosnia and Herzegovina,90.6,,87.8,,87.7
101, Botswana,114.8,,105.7,,97.1
79, Brazil,24.7,,27,,24.6
39, Brunei Darussalam,99.4,,84.9,,87.3
51, Bulgaria,131,,128.1,,123.6
183, Burkina Faso,60.9,,62.3,,62
185, Burundi,41.3,,36,,38.2
125, Cabo Verde,101,,104.1,,98
146, Cambodia,129.6,,127.9,,127
151, Cameroon,55.1,,49.9,,42
12, Canada,64.1,,65.5,,64.4
188, Central African Republic,50.6,,47.2,,42.8
186, Chad,76.6,,66.3,,67.9
44, Chile,65.3,,59,,55.5
86, China,44.9,,39.5,,37
90, Colombia,37.3,,38.6,,36.5
165, Comoros,77.2,,65.1,,59.7
137, Congo,143.2,,165.6,,136.5
176, Congo (Democratic Republic of the),78.7,,59.3,,59.6
63, Costa Rica,67,,62.5,,64.8
46, Croatia,88.7,,94.1,,95.2
73, Cuba,39.3,,31.6,,
32, Cyprus,122.1,,128.2,,130.2
27, Czechia,158.7,,156.1,,151.6
170, Côte d'Ivoire,62.4,,61.2,,49.5
11, Denmark,102.3,,104.1,,101
172, Djibouti,92.9,,107.5,,84.6
103, Dominica,116,,108.9,,102.3
94, Dominican Republic,56.2,,53.9,,53.8
86, Ecuador,57.7,,45.2,,38.8
115, Egypt,36.9,,34.8,,30
121, El Salvador,77.2,,76.1,,72
141, Equatorial Guinea,104.4,,98.9,,92.5
179, Eritrea,,,,,
30, Estonia,162.3,,153.2,,154.1
144, Eswatini (Kingdom of),105.4,,99.7,,102.2
173, Ethiopia,40.7,,39.7,,35.5
92, Fiji,115.9,,105.5,,78
15, Finland,75.4,,73.5,,72.8
24, France,60.5,,61.8,,61.1
110, Gabon,73.5,,73.9,,71.2
174, Gambia,77.8,,75.1,,64.9
70, Georgia,103.4,,107,,102.9
5, Germany,84.5,,85.8,,84.3
140, Ghana,88.5,,100.5,,89.3
31, Greece,67.2,,63.4,,61.6
75, Grenada,119.1,,114.7,,108.5
127, Guatemala,56.7,,51.3,,47
175, Guinea,76.8,,72.4,,111
177, Guinea-Bissau,51.6,,59.8,,57.8
125, Guyana,115.9,,101.3,,100.3
168, Haiti,71.3,,70.6,,73.3
133, Honduras,113,,107.3,,100.5
7," Hong Kong, China (SAR)",426,,389.4,,371.7
45, Hungary,168.9,,171.6,,169
6, Iceland,99.5,,99,,90.4
130, India,48.9,,41.9,,40.3
116, Indonesia,48.1,,41.9,,37.4
60, Iran (Islamic Republic of),44.6,,39,,43.2
120, Iraq,78.3,,75.8,,73.4
4, Ireland,208.2,,216.2,,221.2
22, Israel,63,,59.5,,58.4
28, Italy,55.8,,56.9,,56.4
97, Jamaica,84.8,,76.1,,76.3
19, Japan,37.5,,35.6,,31.3
95, Jordan,113.1,,98.1,,91.3
58, Kazakhstan,65,,53,,60.3
142, Kenya,51.3,,44.2,,36.8
134, Kiribati,107.8,,113.3,,106.7
22, Korea (Republic of),95.3,,83.7,,77.7
56, Kuwait,100,,98.7,,94.7
122, Kyrgyzstan,125.1,,111,,105.8
139, Lao People's Democratic Republic,99.1,,85.8,,75.1
41, Latvia,122.9,,121.3,,119.2
80, Lebanon,81.5,,74.1,,72.6
159, Lesotho,117.9,,122.2,,125.4
181, Liberia,137,,126,,121.7
108, Libya,138.9,,108.7,,
35, Lithuania,160.1,,152.2,,147.6
21, Luxembourg,382.3,,410.2,,407.4
161, Madagascar,69.9,,67.6,,69.3
171, Malawi,73.3,,64.9,,77.9
57, Malaysia,138.3,,133.6,,128.6
101, Maldives,163.8,,147.6,,150.3
182, Mali,60.5,,63.6,,62.4
