"Geography","Population mid-2018 (millions)","Percent Urban","Population per Square Kilometer of Arable Land"
"Algeria","42.7","73","572"
"Egypt","97","43","3,350"
"Libya","6.5","80","376"
"Morocco","35.2","62","433"
"Sudan","41.7","36","210"
"Tunisia","11.6","68","399"
"Western Sahara","0.6","87","14,150"
"Benin","11.5","45","425"
"Burkina Faso","20.3","29","338"
"Cape Verde","0.6","66","1,101"
"Cote d'Ivoire","24.9","51","859"
"Gambia","2.2","61","494"
"Ghana","29.5","56","627"
"Guinea","11.9","35","383"
"Guinea-Bissau","1.9","43","636"
"Liberia","4.9","51","971"
"Mali","19.4","42","303"
"Mauritania","4.5","54","1,009"
"Niger","22.2","16","132"
"Nigeria","195.9","50","576"
"Senegal","16.3","46","509"
"Sierra Leone","7.7","41","487"
"Togo","8","42","302"
"Burundi","11.8","13","987"
"Comoros","0.8","29","1,281"
"Djibouti","1","78","48,550"
"Eritrea","6","40","865"
"Ethiopia","107.5","20","711"
"Kenya","51","32","878"
"Madagascar","26.3","37","750"
"Malawi","19.1","17","502"
"Mauritius","1.3","41","1,710"
"Mozambique","30.5","32","540"
"Rwanda","12.6","19","1,091"
"Seychelles","0.1","57","64,364"
"Somalia","15.2","45","1,380"
"South Sudan","13","20","---"
"Tanzania","59.1","34","438"
"Uganda","44.1","24","639"
"Zambia","17.7","44","465"
"Zimbabwe","14","32","351"
"Angola","30.4","63","620"
"Cameroon","25.6","56","414"
"Central African Republic","4.7","41","263"
"Chad","15.4","23","314"
"Congo","5.4","67","982"
"Congo, Dem. Rep.","84.3","45","1,188"
"Equatorial Guinea","1.3","71","1,095"
"Gabon","2.1","89","632"
"Sao Tome and Principe","0.2","73","2,425"
"Botswana","2.2","70","564"
"eSwatini","1.4","24","795"
"Lesotho","2.3","28","831"
"Namibia","2.5","48","317"
"South Africa","57.7","66","462"
"Canada","37.2","81","85"
"United States","328","82","215"
"Belize","0.4","45","510"
"Costa Rica","5","73","2,157"
"El Salvador","6.5","70","863"
"Guatemala","17.2","51","1,847"
"Honduras","9","54","884"
"Mexico","130.8","73","571"
"Nicaragua","6.3","59","416"
"Panama","4.2","69","739"
"Antigua and Barbuda","0.1","25","2,564"
"Bahamas","0.4","83","4,963"
"Barbados","0.3","31","2,593"
"Cuba","11.1","77","369"
"Curacao","0.2","89","---"
"Dominica","0.07","71","1,211"
"Dominican Republic","10.8","80","1,354"
"Grenada","0.1","36","3,807"
"Haiti","10.8","55","1,008"
"Jamaica","2.9","56","2,416"
"Puerto Rico","3.3","94","5,352"
