Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Domestic Credit provided by financial sector,Education Index,Exports and Imports,Life Expectancy at Birth,"Mortality Rate, Infant",Unemployment
Afghanistan,2015,8,107.9,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8,-0.4,0.41,55.8,63.3,54.9,8.9
Albania,2015,125,61.9,4.7,6.2,5,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1,68,0.733,71.8,78.2,12.5,17.1
Algeria,2015,67,79.6,8,7.7,8.2,6.4,6,5.1,7.8,5.8,7.1,5.7,6.4,5.4,40,0.662,59.7,75.9,21.9,11.2
Angola,2015,42,87.9,6,7.2,7.3,5.6,9.6,6,8.3,8.9,7.3,8.7,7.6,5.6,31,0.472,70.3,61.2,56.9,7.3
Argentina,2015,141,47.6,3.6,2.8,5,4.9,5.4,3,4.7,4.3,4.1,3.8,2,4,40.4,0.812,22.5,76.4,10.3,6.9
Armenia,2015,108,69.7,5.3,7,5.4,6,5,6,7,4.1,6.5,3.6,7,6.8,48.3,0.746,71.6,74.4,12.5,18.3
Australia,2015,170,24.3,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1,176,0.926,41.5,82.7,3.2,6.1
Austria,2015,167,25.8,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2,1.7,123.4,0.847,102.1,81.4,3,5.7
Azerbaijan,2015,80,77.3,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9,40.2,0.709,72.6,71.9,28.2,5
Bahamas,2015,136,51.5,4,4.5,4.1,4.7,5,5,4.3,4.4,3,6.1,2.8,3.7,75.7,0.726,73.7,75.5,9,12
Bahrain,2015,119,64.4,6.7,7.1,7.7,3.2,5.1,3.5,8.4,2.3,7.8,4.6,2.6,5.3,90.9,0.723,154.1,76.8,6.6,1.2
Bangladesh,2015,32,91.8,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7,60.2,0.488,42.1,72.2,29.7,4.4
Barbados,2015,138,49.3,4.3,4.2,4.1,5.7,5.1,5.4,3,2.7,2.9,3.8,2.7,5.4,,0.777,79,75.8,11.7,11.4
Belarus,2015,87,75.6,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8,49.8,0.836,115.9,72.7,3,0.5
Belgium,2015,163,30.5,2,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5,148,0.89,160.2,81,3.2,8.5
Belize,2015,116,65.3,5.8,4.3,4.1,5.9,6.2,6.5,5.7,5.8,4.1,5.9,4.1,6.9,66,0.704,123.6,70.2,13.4,10
Benin,2015,73,78.8,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6,7.1,20.9,0.466,68,60.6,64.6,2.6
Bhutan,2015,74,78.7,5,7.5,7.9,5.7,6.9,6.8,5,6.6,6.5,6,6.9,7.9,51.8,0.445,95,69.8,27.8,2.5
Bosnia and Herzegovina,2015,78,77.4,6.2,8.7,7.1,5.8,5.6,5.5,7,4.1,5.8,6.1,7.3,8.2,57.7,0.695,87.8,76.7,5.3,26.3
Botswana,2015,122,62.8,3.5,3.3,5.4,6.3,7.7,5.1,3.8,6,4.4,7.5,5.2,4.6,12.4,0.658,105.7,65.8,33.9,17.5
Brazil,2015,123,62.7,5.9,4.9,5.9,3.9,7.7,4.1,5.1,5.9,5.8,7.6,3.1,2.7,107.1,0.68,27,75.3,14,8.4
Brunei Darussalam,2015,121,63.0,5.6,7.4,5.9,2.8,7.8,4.6,8,2.2,7.7,4.2,2.7,4.1,40,0.705,84.9,77,8.5,6.8
Bulgaria,2015,130,55.4,4.1,5.3,5.2,6.2,4.9,4.6,5,4.2,3.4,4.2,3.5,4.8,60.3,0.811,128.1,74.6,7,9.1
Burkina Faso,2015,39,89.2,7.4,7.8,5,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5,32.2,0.277,62.3,59.9,54.4,6.5
Burundi,2015,18,98.0,7.7,7.9,8,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9,8.4,30.7,0.421,36,57.1,50.1,1.6
Cambodia,2015,42,87.9,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7,5.8,7.4,65.1,0.479,127.9,68.6,27.5,0.2
Cameroon,2015,28,94.3,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8,8,7.8,7,13.9,0.542,49.9,57.6,54.5,4.3
Canada,2015,168,25.6,2.2,2.5,3.9,1.8,3,2.2,0.9,2,1.8,2.4,2,1,,0.89,65.5,82.2,4.5,6.9
Central African Republic,2015,3,111.9,9.8,10,9.6,8.3,9.7,6.9,9.5,9.9,10,8.4,10,9.8,33,0.339,47.2,51.4,91.2,6.4
Chad,2015,6,108.4,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10,8.3,17.6,0.297,66.3,52.6,76.8,5.7
Chile,2015,150,41.5,3.1,1.7,4.1,3.6,5.1,3.2,3,4.5,3.4,5.1,2.1,2.6,120.7,0.797,59,79.3,7.3,6.5
China,2015,83,76.5,5.9,7.2,8.3,3.4,7.4,4.6,8,6.2,9.2,7.4,5.6,3.2,193.4,0.641,39.5,76.1,9.2,4.6
Colombia,2015,61,82.5,7.3,7.6,8,3.8,7.5,6.7,7.1,6,7.3,6.9,7.8,6.5,52.7,0.669,38.6,74.2,13.6,8.2
Comoros,2015,59,83.3,7.2,7.5,5,8,7,7.8,6.8,8,6.1,7.6,4.5,7.8,25.7,0.473,65.1,63.5,56.5,4.4
Costa Rica,2015,142,46.8,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3,74.3,0.713,62.5,79.6,7.9,9.3
Croatia,2015,137,51.0,4,4.4,5.7,5.3,3.8,4.5,3.4,2.9,4.1,3.6,4.9,4.4,87.5,0.793,94.1,77.5,4.1,16.2
Cuba,2015,112,67.4,5.7,7,4.5,4.5,5.9,5.7,7,4.7,7.3,5.6,4.5,5,,0.768,31.6,79.6,4.3,2.4
Cyprus,2015,114,66.2,4.4,7.9,7,6.7,6.4,4.5,5.3,3,3.3,4,4.5,9.2,308.5,0.792,128.2,80.3,2.2,14.9
Denmark,2015,175,21.4,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4,214.6,0.918,104.1,80.6,3.6,6.2
Djibouti,2015,41,88.0,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4,35.8,0.308,107.5,62.3,54.9,5.9
Dominican Republic,2015,104,71.2,5.2,6.2,5.8,5.3,6.3,7.6,6,6.8,5.5,6.8,3.8,5.9,53.4,0.643,53.9,73.7,26.1,5.9
Ecuador,2015,85,75.9,6.7,8.2,7.8,5.3,6.8,6.2,7,6.3,5.1,5.7,5.2,5.6,31.5,0.675,45.2,76.1,18.3,3.6
Egypt,2015,38,89.9,8.2,9,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1,95.3,0.601,34.8,71.3,20.1,13.1
El Salvador,2015,102,71.4,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3,86.8,0.571,76.1,73.3,13.3,4
Equatorial Guinea,2015,54,84.8,7,8.2,6.3,5.2,9,6,9.8,7.1,9.7,7.7,3.3,5.5,12,0.44,98.9,57.4,68.2,5.5
Eritrea,2015,24,96.9,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2,,0.278,,64.6,33.8,6.6
Estonia,2015,146,43.7,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2,3.3,2.9,3.1,76.9,0.869,153.2,77.4,2.5,6.2
Ethiopia,2015,20,97.5,8.4,8.6,8.5,6.9,7.1,7,7.4,8.6,8.5,9.2,9.4,7.9,,0.322,39.7,65,42.6,5
Fiji,2015,82,76.7,6.7,7.9,7,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2,119.6,0.785,105.5,70.1,19.1,6.1
Finland,2015,178,17.7,1.4,1.1,1.6,3.8,1,2.3,0.5,1.2,0.9,1.5,1.5,1,156.9,0.904,73.5,81.1,2,9.4
France,2015,160,33.7,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4,147.4,0.84,61.8,82.4,3.2,10.4
Gabon,2015,104,71.2,5,7.1,3.7,4.8,6.9,5.5,7.4,6.8,6.9,7.1,5,5.1,16.9,0.618,73.9,65.7,35.8,20.2
Gambia,2015,51,85.4,6,6.8,3.7,7.8,7.2,7.7,7.8,7.7,8.6,8.2,6.4,7.5,,0.368,75.1,61,43.2,9.4
Georgia,2015,70,79.2,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3,57.5,0.831,107,73.1,10.2,12
Germany,2015,165,28.1,2.1,2,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3,1.3,134.3,0.94,85.8,80.8,3.3,4.6
Ghana,2015,100,71.8,4.1,4.9,4.6,6.3,7.1,7.6,5,7.9,5.2,7.1,5.5,6.6,35.8,0.556,100.5,62.4,42.4,2.2
Greece,2015,134,52.6,4.5,3.7,5,6.5,4.2,3.8,6.5,3.9,3.4,3.6,1.6,5.9,135.2,0.833,63.4,81,3.1,24.9
Guatemala,2015,64,80.4,7,6,7.9,6,8,6.7,6.6,7.4,6.6,7.3,5.5,5.4,42.8,0.509,51.3,73.2,24.6,2.7
Guinea,2015,10,104.9,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9,8.7,8.1,26.1,0.339,72.4,59.4,60,4.5
Guyana,2015,107,70.5,5.8,5.1,6.5,6.2,6.2,9.1,5.9,6.1,3.9,5.6,3.6,6.5,64.6,0.596,101.3,66.5,27.6,11.9
Haiti,2015,11,104.5,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9,32.2,0.426,70.6,63.1,52.2,14.1
Honduras,2015,76,78.1,6.7,6.6,6.4,6.3,7.7,6.9,6.7,6.7,6.3,6.8,3.7,7.4,57.9,0.494,107.3,73.4,16.6,4.6
Hungary,2015,139,49.1,2.4,5.3,4.7,5.9,4.3,3.3,6.6,3.3,4.5,2.3,2.5,4,58.3,0.818,171.6,75.8,4.6,6.8
Iceland,2015,171,23.4,1,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6,106.9,0.906,99,82.6,1.7,4
India,2015,69,79.3,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8,5.4,5.3,75.7,0.542,41.9,68.3,36.2,3.5
Indonesia,2015,88,75.0,6.2,7,7.3,5.2,6.3,6.3,5.6,6,6.8,7.1,5.9,5.3,46.8,0.616,41.9,69,22.9,4.5
Iraq,2015,12,104.4,10,9.6,10,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4,8.7,0.502,75.8,69.7,26.7,7.7
Ireland,2015,169,24.6,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9,107.1,0.91,216.2,81.3,3.1,9.4
Italy,2015,147,43.2,4.4,4.9,4.9,5.6,3.4,2,4.2,2.3,2.5,3.1,3.7,2.2,169.7,0.791,56.9,82.8,2.9,11.9
Jamaica,2015,117,64.6,6.3,3.7,3.9,7.1,5.9,7.8,5.3,5.8,4.9,5.2,3,5.7,49.8,0.686,76.1,75.8,13.6,13.5
Japan,2015,157,36.0,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6,341.8,0.839,35.6,83.6,2,3.3
Jordan,2015,81,76.9,5.5,6.9,7.7,6.3,5.9,3.6,6.1,4.7,7.6,7,8.8,6.8,105.5,0.706,98.1,74.2,15.5,13.1
Kazakhstan,2015,110,68.3,5.7,7.6,7,6.5,4.7,3.6,8,4.5,7.5,5,3.5,4.7,45.7,0.806,53,69.7,11.2,4.9
Kenya,2015,21,97.3,8.4,8.9,9,7.5,8.3,7.5,8.1,7.9,6.5,9,8.3,8,45.2,0.534,44.2,66.7,36.5,11.6
Kuwait,2015,128,57.5,3.9,7.5,4.7,3,4.7,3.1,7.3,2.5,7.3,5.1,4,4.4,87,0.616,98.7,74.6,7.5,2.2
Latvia,2015,140,48.5,3.5,4.3,7.4,4,4.6,4.4,3.9,3.4,3,3.4,2.9,3.8,58.1,0.866,121.3,74.4,4.3,9.9
Lebanon,2015,40,88.1,8.8,9.3,8.6,5.9,5.7,5.4,7.8,5.4,7.2,5.7,9.1,9.2,196.2,0.63,74.1,79.4,7.2,6.2
Lesotho,2015,66,79.9,5.6,7.3,4.4,8.3,7.3,7.4,6.4,8,4.8,7.7,4.9,7.8,2.3,0.498,122.2,53.7,74.5,27
Liberia,2015,21,97.3,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10,36.6,0.425,126,62,52.9,2.3
Libya,2015,25,95.3,9.3,9.1,7.8,8,6.1,6.4,9.8,7.5,9,5.4,7.4,9.5,2.7,0.616,108.7,71.8,11.5,18.4
Lithuania,2015,148,43.0,3,3,4.3,5,5,4.2,3.2,4,2.4,3.3,2.6,3,47.2,0.88,152.2,74.5,4.1,9.1
Luxembourg,2015,174,22.1,2,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1,1.7,1.7,1.6,191.3,0.788,410.2,81.6,2.1,6.7
Madagascar,2015,56,83.6,7.1,7.6,4.6,7.6,8.5,6.1,7.2,9.1,6.1,8.5,3.9,7.3,18.8,0.498,67.6,65.5,35.2,1.8
Malawi,2015,44,86.9,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1,17,0.445,64.9,62.7,40.9,5.9
Malaysia,2015,115,65.9,6.8,6.5,6.2,3.6,5.3,4.5,6.9,4.7,7.2,5.8,4.2,4.2,144.7,0.713,133.6,75.1,7,3.1
Maldives,2015,91,74.3,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7,62.8,0.561,147.6,77,7.7,5.1
Mali,2015,30,92.9,8.7,4.9,7.6,8.2,7.4,8.4,6,9,6.7,9.1,7.8,9.3,24.4,0.286,63.6,57.5,69.6,7.7
Malta,2015,151,40.9,3.4,2,3.9,4.2,2.9,4,3.9,2.3,3.3,2.8,4.6,3.6,132.1,0.81,271.9,80.7,6,5.4
Mauritania,2015,26,94.9,7.4,8.8,6.9,8,7.1,6.3,7.9,8.9,8,8.6,8.5,8.5,,0.381,109.4,63.1,55.7,10
Mauritius,2015,145,45.2,2.8,3.2,3.8,4.7,4.3,4.2,3.5,3.8,3.4,4.1,2.2,5.2,116.3,0.721,107.6,74.6,12.7,7.9
Mexico,2015,99,71.9,8,5.1,6.4,4.6,6.6,5.8,5.9,6.8,6.5,6.2,4.4,5.5,52.6,0.666,71.2,76.9,12.9,4.3
Mongolia,2015,129,57.0,4,5.5,4.3,4.3,6.4,3.1,4.5,5.7,4.8,5.5,2.4,6.5,69.3,0.754,90.3,69.1,16.1,4.9
Montenegro,2015,132,54.2,4,6.3,7.3,4.6,2.9,3.6,4,3.6,4.2,3.3,4.5,5.9,59,0.79,102.7,76.9,3.8,17.5
Morocco,2015,89,74.6,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7,5.5,5.3,6,107.1,0.51,76.4,75.6,24.1,9.7
Mozambique,2015,46,86.9,7,6.9,5.9,7.8,8.6,7.4,7.2,9,6.1,8.7,5,7.3,43.2,0.385,104.2,57.7,55.1,25.3
Myanmar,2015,27,94.7,8.3,8.3,9.7,6.5,8.2,5.7,9,8.6,8.3,6.8,8.3,7,33.3,0.436,47.4,66.5,41.4,0.8
Namibia,2015,106,70.8,4.9,3.5,5.9,7.1,8.1,6.5,3.8,7.3,4.3,7,5.5,6.9,68,0.565,107.1,63.8,34.5,19.6
Nepal,2015,35,90.5,7,8.3,9.1,6.8,7.5,7,7.1,7.1,7.7,7.9,7.6,7.4,75,0.495,53.1,69.9,29.6,3.1
Netherlands,2015,166,26.9,1.8,2.6,3.9,3.4,2.7,2.6,1,1.5,1,3,2.1,1.2,206.4,0.903,156.3,81.7,3.3,6.9
New Zealand,2015,172,22.6,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1,1.9,1.1,1.1,,0.914,54.4,81.7,4.6,5.4
Nicaragua,2015,72,79.0,5.6,6.8,6.5,6.2,7.9,8.1,7.3,7.2,5.3,6.2,4.6,7.3,48.4,0.553,99.5,75.1,17.3,4.5
