2016 (Education Index.csv),2016 (Exports and imports (% of GDP).csv),2016 (Life expectancy at birth (years).csv),"2016 (Mortality rate, infant (per 1,000 live births).csv)",2016,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,Country,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,Number of Records,P1: State Legitimacy,P2: Public Services,P3: Human Rights,Rank,S1: Demographic Pressures,S2: Refugees and IDPs,Total,X1: External Intervention,Year
0.41,55.9,63.7,53.2,-1.2,10,8.6,8.6,Afghanistan,8.5,7.5,8.4,1,9.1,9.6,8.7,9th,9.5,9.5,107.9,9.9,2016
0.742,74.7,78.3,12,66.2,4.4,6.2,4.7,Albania,5.5,3.8,7.6,1,5.9,4.2,5,124th,4.2,3.3,61.2,6.4,2016
0.663,56.3,76.1,21.6,54.8,7.7,7.1,7.9,Algeria,6.8,6.3,5.4,1,7.8,5.5,6.8,76th,5.4,6.5,78.3,5.1,2016
0.487,59.4,61.5,54.6,28.8,6.2,7.2,7.7,Angola,6.1,9.6,6.3,1,8.8,9.2,7.5,37th,9,7.3,90.5,5.6,2016
0.676,88.7,76.4,5.1,62.5,5.4,3.7,3.9,Antigua and Barbuda,4.7,4.7,7,1,5.6,4,4.6,129th,4.3,2.8,56.2,5.5,2016
0.814,26.1,76.6,9.9,38.1,4,2.8,4.7,Argentina,5.5,5.1,2.7,1,5,4,3.8,140th,4,2.5,48.4,4.3,2016
0.749,75.9,74.6,11.9,54.4,5,7,5.6,Armenia,6.5,4.7,5.9,1,7.2,3.8,7,109th,3.3,6.7,69.6,6.9,2016
0.929,40.8,82.9,3.1,182.8,1.8,1.7,4.1,Australia,1.8,2.4,1,1,1,1.7,2.5,172nd,1.5,2,22.5,1,2016
0.852,101.2,81.6,2.9,129.9,1.2,2.7,4,Austria,1.9,3.1,1.2,1,1.1,1.3,1.4,167th,2.1,6.1,27.5,1.4,2016
0.709,90.1,72,27.2,38.9,6.4,7.9,6.7,Azerbaijan,3.8,5.6,4,1,8.9,5.1,8.6,81st,4.8,7.9,76.3,6.6,2016
0.726,73.5,75.7,8.6,76.8,4.3,4.5,4.1,Bahamas,4.5,4.7,4.7,1,4,4.8,3.3,137th,6.6,2.7,51.6,3.4,2016
0.758,139.6,76.9,6.5,,6.4,7.1,7.9,Bahrain,3.5,4.8,3.2,1,8.4,2,8.3,121st,4.3,2.5,63.4,5,2016
0.49,38,72.5,28.2,61.4,7.8,9.6,8.9,Bangladesh,6.3,6.9,7.5,1,8,7.8,7.6,36th,8,6.3,90.7,6,2016
0.777,82.6,75.9,11.4,,4.4,4.2,4.1,Barbados,6,4.8,5.1,1,2.7,2.7,2.6,139th,4.1,2.6,49,5.7,2016
0.838,125.2,72.9,2.9,47,6.3,8.3,7.1,Belarus,6.2,4.9,3.1,1,8.9,4.4,8.1,92nd,5.3,3.8,73.9,7.5,2016
0.893,164.5,81.1,3.1,153.7,1.9,3.9,4.4,Belgium,4.4,2.9,1.6,1,1.6,1.8,1,164th,2.2,2.1,29,1.2,2016
0.705,110.2,70.4,12.8,70.2,6.1,4.3,4.1,Belize,6.4,5.9,6.7,1,5.4,6.1,4.4,116th,5.6,3.8,66,7.2,2016
0.471,71.3,60.9,63.1,24,5.9,7,3.6,Benin,6.3,7.8,7.1,1,5.9,8.9,5.4,72nd,8.5,5.7,78.9,6.8,2016
0.446,82.8,70.2,26.8,53.5,4.7,7.5,7.6,Bhutan,5.2,6.6,7.2,1,4.5,6.3,6.3,78th,6.3,7.2,77.6,8.2,2016
0.718,87.7,76.9,5.2,56.7,5.9,8.7,7,Bosnia and Herzegovina,5.7,5.3,5.2,1,6.7,3.8,6.1,88th,4,7.8,74.6,8.4,2016
0.659,97.1,66.8,32.6,16.1,3.8,3.3,5.1,Botswana,6,8,5.2,1,3.5,7,4.7,120th,7.9,4.7,63.5,4.3,2016
0.686,24.6,75.5,13.5,111.3,6.4,4.9,5.7,Brazil,4.5,8,4.3,1,5.9,6,6.1,117th,7.6,2.9,65.3,3,2016
0.704,87.3,77.2,8.5,35.5,5.3,7.4,5.9,Brunei Darussalam,3,7.8,4.3,1,8.3,2,7.9,123rd,3.9,2.4,62,3.8,2016
0.805,123.6,74.7,6.5,54.3,3.8,5.3,5.3,Bulgaria,5.9,4.6,4.3,1,4.7,3.9,3.5,132nd,3.9,4,53.7,4.5,2016
0.285,62,60.4,52.7,29.4,8.1,8.1,4.7,Burkina Faso,6.5,8.4,7.2,1,7.3,8.9,6.3,41st,9.4,6.8,89.4,7.7,2016
0.424,38.2,57.5,48.4,35,9,8.5,8.1,Burundi,8.2,7.4,6.5,1,9,8.2,8.5,15th,9.5,9.1,100.7,8.7,2016
0.483,127,69,26.3,71.1,6.4,8.3,7.1,Cambodia,5.9,6.8,7.8,1,8.5,8,7.9,46th,7.2,5.9,87.4,7.6,2016
0.547,42,58.1,52.8,18.6,8.1,9.4,8.5,Cameroon,6.3,8.1,7.8,1,8.7,8.9,7.7,22nd,8.3,8,97.8,8,2016
0.894,64.4,82.4,4.3,,1.9,2.5,3.6,Canada,1.9,2.7,1.9,1,1,1.7,1.5,169th,2.1,2,23.8,1,2016
0.341,42.8,52.2,88.5,30.5,9.2,10,9.3,Central African Republic,8.6,9.9,7.2,1,9.8,10,9.9,3rd,8.7,10,112.1,9.5,2016
0.298,67.9,52.9,75.2,26.6,9.1,9.8,8.5,Chad,8,9.3,8.9,1,9.2,9.8,9.3,7th,9.9,9.8,110.1,8.5,2016
0.8,55.5,79.5,7.2,126.3,2.9,2.2,3.8,Chile,3.3,5.4,3.5,1,3.5,4.2,3.2,150th,5.4,2.2,41.9,2.3,2016
0.644,37,76.3,8.5,215.2,5.6,7.2,8.1,China,4.1,7.5,4.6,1,8.3,5.9,8.7,86th,6.9,5.1,74.9,2.9,2016
0.676,36.5,74.4,13.1,53.7,7,7.6,7,Colombia,3.9,7.8,6.3,1,6.5,6.1,7.2,67th,6.7,7.9,80.2,6.2,2016
0.473,59.7,63.7,55,31.3,6.9,7.5,5,Comoros,8.2,7.2,7.6,1,6.8,8.4,6.5,57th,7.5,4.7,83.8,7.5,2016
0.715,64.8,79.8,7.7,79.1,3.3,3.8,4.4,Costa Rica,4.2,5.5,3.8,1,2.6,4.1,1.7,142nd,3.8,3.6,45.1,4.3,2016
0.791,95.2,77.6,4,84.9,3.7,4.4,6,Croatia,5.5,3.5,4.2,1,3.1,2.6,3.8,136th,3.3,7.5,52.4,4.8,2016
0.774,,79.7,4.2,,5.4,7,4.2,Cuba,4.2,5.6,5.4,1,7.3,4.3,7.7,114th,5.7,4.2,66.3,5.3,2016
0.808,130.2,80.5,2.1,264.7,4.1,7.9,6.5,Cyprus,6.4,6.1,4.2,1,5,2.7,3.2,119th,3.7,5,64,9.2,2016
0.92,101,80.7,3.7,215,1.4,1.4,4.6,Denmark,2.2,1.8,1.6,1,0.6,1.1,1.7,175th,2.2,1.8,21.5,1.1,2016
0.309,84.6,62.5,53.5,34.6,6.6,7.3,6.7,Djibouti,7.1,8.1,5.5,1,7.9,8.1,7.5,39th,8.5,7.5,89.7,8.9,2016
0.643,53.8,73.9,25.5,56.3,5.5,6.2,6,Dominican Republic,5.2,6,7.3,1,5.7,6.8,6,105th,7,3.5,70.8,5.6,2016
0.695,38.8,76.3,17.8,36.1,6.5,8.2,7.5,Ecuador,5.5,6.9,5.9,1,6.7,6,5.2,84th,6,5.4,75.6,5.8,2016
0.604,30,71.5,19.4,119.6,8.3,8.8,9,Egypt,8.4,6.2,4.4,1,8.4,5.1,9.7,38th,6.8,7,90.2,8.1,2016
0.58,72,73.5,12.9,88.8,7,4.3,6.2,El Salvador,5.6,6.6,7.5,1,5,6.6,6.5,96th,6.6,5,72.5,5.6,2016
0.443,92.5,57.7,66.2,21,6.7,8.2,6.3,Equatorial Guinea,6.2,8.9,5.7,1,9.9,7.4,9.4,53rd,7.7,3.6,85.2,5.2,2016
0.279,,65.1,32.9,,7.4,8.1,6.6,Eritrea,8.3,7.5,8,1,9.5,8.6,9.1,18th,9.1,8.5,98.6,7.9,2016
0.868,154.1,77.6,2.3,81.1,2.9,5.5,6.8,Estonia,3.7,3.4,3.7,1,2.9,3.1,1.8,146th,3,2.6,43.4,4,2016
0.325,35.5,65.5,41,,8.1,8.3,8.6,Ethiopia,6.7,6.7,7.3,1,7.7,8.3,8.5,24th,9.3,9.5,97.2,8.2,2016
0.785,78,70.3,18.7,121.1,6.8,7.9,7.1,Fiji,6.7,6.5,7.9,1,7.1,4.5,6.6,82nd,4.4,3.3,76.2,7.4,2016
0.905,72.8,81.3,1.9,154.6,1.4,1.1,2,Finland,3.7,1.2,2,1,0.6,1,1,178th,1.3,2.5,18.8,1,2016
0.84,61.1,82.5,3.2,155.2,3,1.9,7,France,4.5,3.4,1.9,1,1.5,1.3,2.3,158th,3,2.7,34.5,2,2016
0.621,71.2,66.1,34.3,23.2,4.7,7.1,4,Gabon,5,6.7,5.8,1,7.7,6.9,7.2,98th,6.8,4.7,72,5.4,2016
0.368,64.9,61.2,42.2,,6,6.8,3.4,Gambia,8.1,6.9,8.4,1,8.1,8,8.9,48th,8.5,6.5,86.8,7.2,2016
0.845,102.9,73.3,9.5,65.4,7,9.1,8.1,Georgia,5.6,5.7,5.1,1,8.5,4.5,5.8,72nd,4.2,7.7,78.9,7.6,2016
0.94,84.3,81,3.2,133.8,1.8,2.3,4.8,Germany,2.4,3,1.8,1,1,1.3,1.3,165th,2.2,5.7,28.6,1,2016
0.558,89.3,62.7,41.2,34.3,3.8,4.9,4.6,Ghana,6.6,6.8,7.9,1,4.7,7.4,5.3,102nd,7.1,5.2,71.2,6.9,2016
0.838,61.6,81.2,3.1,126,4.2,3.8,5.1,Greece,7,3.9,3.5,1,6.2,4,3.2,130th,3.9,5,55.9,6.1,2016
0.758,108.5,73.7,14.4,53.6,5.9,5.6,3.8,Grenada,6.2,5,8.6,1,5.6,4,3.4,122nd,4.9,3.2,63,6.8,2016
0.514,47,73.4,23.9,41.9,7.3,6.8,8.2,Guatemala,5.7,8.3,7,1,6.7,7.7,6.9,61st,7.4,5.8,83.2,5.4,2016
0.339,111,60,58.3,22.9,9,9.9,8.8,Guinea,9.4,7.4,7.5,1,9.8,9.2,7.9,12th,8.9,8.4,103.8,7.6,2016
0.596,100.3,66.7,26.9,61.6,6.1,5.1,6.4,Guyana,6.1,5.9,9.4,1,5.6,6.4,3.6,104th,5.5,3.8,70.9,7,2016
0.428,73.3,63.3,50.9,31.6,7.9,9.6,6.7,Haiti,8.9,9.5,9,1,9.4,9.4,7.7,10th,9.2,7.9,105.1,9.9,2016
0.502,100.5,73.6,16,60.6,7,6.8,6.1,Honduras,6.6,7.9,6.6,1,7,7,6.6,68th,6.5,4,79.8,7.7,2016
