Rank,Country,Year,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Population mid-2018 (millions),"Births per 1,000 Population","Deaths per 1,000 Population",GNI per Capita PPP 2017,Infant Mortality Rate,Number of Records,Percent Urban,Total Fertility Rate
1st,South Sudan,1/1/2017,113.9,10,9.7,9.7,10,8.9,6.4,10,10,9.5,9.9,10,9.8,13,37,11,"1,440",69,1,20,5
2nd,Somalia,1/1/2017,113.4,9.4,10,8.9,8.9,9.3,9.8,9.3,9,9.5,10,10,9.3,15.2,43,11,---,72,1,45,6.3
3rd,Central African Republic,1/1/2017,112.6,9,9.7,9.1,9.1,10,7.5,9.7,10,9.7,9,10,9.8,4.7,36,14,730,85,1,41,4.9
4th,Yemen,1/1/2017,111.1,9.8,9.5,9.3,9.3,8.2,7.3,9.7,9.6,9.7,9.3,9.4,10,28.9,32,6,"2,380",44,1,37,4
5th,Sudan,1/1/2017,110.6,9,9.7,10,8.5,7.4,8.9,9.8,8.9,9.6,9.3,9.8,9.7,41.7,34,8,"4,482",45,1,36,4.7
5th,Syria,1/1/2017,110.6,9.8,9.9,9.8,8.1,7.7,8.4,9.9,9.2,9.8,8.2,9.8,10,18.3,22,6,---,17,1,54,2.9
7th,Congo Democratic Republic,1/1/2017,110,9,9.8,10,8.4,8.4,6.6,9.6,9.5,9.8,9.4,10,9.5,,,,,,1,,
8th,Chad,1/1/2017,109.4,9.4,9.8,8,8.5,9.1,8.8,9.1,9.7,9.1,10,9.6,8.3,15.4,45,13,"1,920",72,1,23,6.4
9th,Afghanistan,1/1/2017,107.3,10,8.6,8.4,8.3,7.5,8.2,9.1,9.9,8.5,9.3,9.8,9.7,36.5,35,7,"2,000",57,1,25,4.8
10th,Iraq,1/1/2017,105.4,10,9.6,9.6,6.6,7.3,7.7,9.5,8.2,8.7,8.6,9.9,9.7,40.2,31,4,"17,010",38,1,70,4.1
11th,Haiti,1/1/2017,105.3,7.7,9.6,6.5,8.7,9.8,8.8,9.7,9.7,7.6,9.5,7.7,10,10.8,25,8,"1,830",59,1,55,3
12th,Guinea,1/1/2017,102.4,8.8,9.6,8.6,9.2,7.7,7.4,9.6,9.5,7.7,8.7,8.2,7.4,11.9,39,11,"2,270",68,1,35,4.8
13th,Nigeria,1/1/2017,101.6,9.2,9.6,9.2,8,8.6,7.2,8.6,9.2,8.9,9.1,7.5,6.5,195.9,39,12,"5,680",67,1,50,5.5
13th,Zimbabwe,1/1/2017,101.6,8.1,9.8,7.3,8.6,8.5,7.9,9.2,8.9,8.2,9.1,8.5,7.5,14,34,10,"1,850",50,1,32,4
15th,Ethiopia,1/1/2017,101.1,8.4,8.7,9.1,7,6.5,7.6,8.2,8.8,9,9.8,9.3,8.7,107.5,33,7,"1,890",40,1,20,4.4
16th,Guinea Bissau,1/1/2017,99.5,8.9,9.6,5.2,8.3,9.1,8.1,9.2,9.4,7.5,8.6,7.3,8.3,,,,,,1,,
17th,Burundi,1/1/2017,98.9,8.8,8.2,7.9,8,7.2,6.3,8.8,8,8.8,9.3,8.6,9,11.8,41,11,770,47,1,13,5.5
17th,Pakistan,1/1/2017,98.9,9.1,8.9,10,6.9,6.5,7.2,8.1,7.7,8,8.4,8.7,9.4,200.6,26,7,"5,830",66,1,37,3.1
19th,Eritrea,1/1/2017,98.1,7.2,8.1,7.1,8.1,7.8,8.3,9.3,8.4,9,8.8,8.3,7.7,6,30,7,"1,500",46,1,40,4.1
20th,Niger,1/1/2017,97.4,8.7,8.9,8,7.5,8.5,7.5,7.3,9.5,6.5,9,7.9,8.1,22.2,48,10,990,60,1,16,7.2
21st,Cote d'Ivoire,1/1/2017,96.5,7.7,9.1,8.1,6.6,8,7.3,7.9,8.7,7.9,8.2,7.8,9.2,24.9,35,12,"3,820",62,1,51,4.6
22nd,Kenya,1/1/2017,96.4,8.3,8.9,8.9,6.9,7.9,7.6,7.6,8,7,8.9,8.3,8.1,51,31,6,"3,250",36,1,32,3.9
23rd,Libya,1/1/2017,96.3,9.6,9.4,8.1,8.5,5.6,6.3,9.5,7,9.1,4.9,8.3,10,6.5,20,5,"19,940",22,1,80,2.3
24th,Uganda,1/1/2017,96,7.1,8.6,8.5,5.5,7.4,7.6,8.6,8.3,7.8,9,9.3,8.3,44.1,41,9,"1,820",43,1,24,5.4
35th,Myanmar,1/1/2017,95.7,8.9,8.3,9.7,5.9,7.7,6.4,8.6,8.5,8.9,6.8,8.7,7.3,53.9,18,8,"5,830",52,1,29,2.3
26th,Cameroon,1/1/2017,95.6,7.9,9.1,8.3,6.6,7.6,7.6,8.4,8.7,7.5,8.1,8,7.8,25.6,36,10,"3,640",52,1,56,4.7
27th,Liberia,1/1/2017,93.8,6.4,8.3,5.8,8.1,8.4,7.2,6.8,9.3,6.5,9,8.7,9.3,4.9,33,8,710,50,1,51,4.2
28th,Mauritania,1/1/2017,93.7,6.9,8.8,7,7.7,6.8,6.9,8,9,7.9,8.7,8,8,4.5,34,8,"3,900",65,1,54,4.6
29th,Congo Republic,1/1/2017,93.4,7.2,6.7,7.2,7,8.1,7.4,8.9,9.5,8.5,8.1,7.7,7.1,,,,,,1,,
30th,North Korea,1/1/2017,93.3,8.3,8.5,5.8,8.9,7.5,4.4,10,8.6,9.4,7.7,4.4,9.8,,,,,,1,,
31st,Mali,1/1/2017,92.9,9,4.9,7.4,7.7,7.4,8.5,6.1,8.8,7.3,8.5,7.9,9.4,19.4,45,10,"2,160",56,1,42,6
32nd,Angola,1/1/2017,91.1,6.5,7.2,7.5,6.4,9.9,6.6,8.6,9.1,7.3,9.5,7.1,5.4,30.4,45,10,"6,060",44,1,63,6.2
33rd,Nepal,1/1/2017,91,6.5,8.8,9.4,7.5,6.7,6.5,7.4,7.2,7.7,8.6,7.8,6.9,29.7,20,6,"2,710",32,1,20,2.3
34th,Rwanda,1/1/2017,90.8,6.2,8,9.4,6,8.3,7.4,7.1,7.4,7.2,8,8.3,7.5,12.6,32,6,"1,990",32,1,19,4.2
35th,Timor-Leste,1/1/2017,90.5,7.2,8.3,6.5,7.9,6.8,7.6,6.9,8.5,5.3,9.7,6.3,9.5,1.2,30,7,"6,330",30,1,31,4.2
